Fiscal Year 2022,A1,A2,A3,B1,B1/B2,B2,BBBCC,BBBCV,C1,C1/D,C2,C3,CW1,CW2,D,E1,E2,E2C,E3,E3D,E3R,F1,F2,G1,G2,G3,G4,G5,H1B,H1B1,H1C,H2A,H2B,H3,H4,I,J1,J2,K1,K2,K3,K4,L1,L2,M1,M2,N8,N9,NATO1,NATO2,NATO3,NATO4,NATO5,NATO6,O1,O2,O3,P1,P2,P3,P4,Q1,R1,R2,T2,T3,T4,T5,T6,TD,TN,U1,U2,U3,U4,U5,Grand Total
Monaco,2,12,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,4,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
Montenegro,8,88,0,21,"2,837",0,0,0,13,"1,994",0,0,0,0,0,0,0,0,0,0,0,144,2,1,52,0,11,0,17,0,0,0,53,0,2,4,"1,162",1,7,0,0,0,6,2,0,0,0,0,0,2,0,0,0,0,5,0,0,2,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,447"
Netherlands,59,369,1,154,"2,354",3,0,0,0,"1,226",1,5,0,0,0,9,182,0,0,10,0,"1,765",24,25,70,10,158,0,231,0,0,9,16,1,76,123,"2,731",129,58,0,0,0,951,752,54,6,2,0,0,190,0,9,0,217,403,254,91,185,1,10,9,7,18,12,0,0,0,0,0,4,0,0,0,0,0,0,"12,974"
North Macedonia,12,56,0,10,"3,442",0,0,0,3,298,0,0,0,0,0,0,9,0,0,1,0,95,9,4,22,0,29,0,18,0,0,11,124,0,7,3,457,10,31,0,0,0,10,8,0,0,0,0,0,83,0,1,0,0,10,0,3,43,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,823"
Norway,38,257,0,43,"1,260",0,0,0,0,649,0,4,0,0,0,14,73,0,0,2,0,"1,623",22,13,99,0,46,0,54,0,0,0,0,0,17,107,890,114,13,1,0,0,150,114,86,5,0,0,0,384,0,5,0,24,144,74,16,85,1,6,4,126,16,6,0,0,0,0,0,0,0,0,0,0,0,0,"6,585"
Poland,55,390,0,178,"4,797",3,0,0,2,"2,166",0,5,0,0,0,17,197,0,0,10,0,789,21,11,58,14,64,0,214,0,0,7,203,2,84,87,"3,051",208,45,5,0,0,589,468,18,3,0,0,0,661,0,8,5,41,141,34,38,296,0,141,2,0,73,4,0,0,0,0,0,3,0,0,0,0,0,0,"15,208"
Portugal,24,121,1,58,"1,634",1,0,0,1,"1,786",0,2,0,0,0,1,3,0,0,0,0,657,27,8,58,0,90,4,208,0,0,1,106,2,34,32,669,42,30,1,0,0,380,288,21,0,0,0,0,58,0,5,2,6,147,62,42,57,0,16,6,0,6,2,0,0,0,0,0,0,0,0,1,0,0,0,"6,700"
Romania,55,344,0,422,"22,964",2,0,0,28,"3,496",0,2,0,0,0,0,110,0,0,4,0,334,8,25,96,8,70,1,74,0,0,273,911,1,50,36,"5,155",47,50,1,0,0,288,171,8,1,0,0,0,307,0,13,8,0,43,11,15,45,0,49,2,0,15,20,0,0,0,0,0,6,0,0,0,0,0,0,"35,569"
Russia,153,415,0,39,"29,822",21,0,0,2,"1,948",0,0,0,0,5,3,48,2,0,8,1,"3,119",314,175,251,0,432,1,334,0,0,0,0,1,314,64,"1,414",264,415,80,0,0,859,"1,076",26,8,0,0,0,0,0,0,0,0,427,30,295,262,1,24,61,0,28,12,0,0,0,0,0,16,0,0,0,0,0,0,"42,770"
San Marino,8,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Serbia,27,111,1,66,"9,075",5,0,0,26,"1,869",0,1,0,0,1,10,169,0,0,0,0,989,15,4,29,0,33,0,114,0,0,0,"1,645",0,42,23,719,33,30,2,0,0,138,116,2,0,0,0,0,0,0,0,0,0,59,14,8,34,0,73,14,0,4,4,0,0,0,0,0,3,0,0,0,0,0,0,"15,508"
Slovakia,10,189,2,52,420,1,0,0,0,59,0,0,0,0,0,0,58,0,0,0,0,231,7,12,41,2,28,0,44,0,0,0,33,0,17,13,"1,156",25,5,0,0,0,112,64,0,0,0,0,0,11,0,0,0,0,20,7,8,32,3,0,2,0,9,13,0,0,0,0,0,0,0,0,0,0,0,0,"2,686"
Slovenia,8,47,0,2,258,0,0,0,2,48,0,0,0,0,0,0,18,0,0,0,0,96,2,9,48,12,15,0,30,0,0,0,2,0,7,2,164,13,5,0,0,0,23,19,0,0,0,0,0,85,0,1,0,0,21,8,2,13,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,963
Spain,61,471,6,159,"3,120",2,0,0,1,"1,191",0,4,0,0,0,96,"1,579",0,0,7,0,"5,518",85,32,131,17,381,3,936,0,0,1,6,3,183,280,"12,520","1,047",81,2,0,0,"1,266","1,268",48,3,0,0,0,281,0,12,1,6,623,266,178,430,0,132,28,35,43,7,0,0,0,0,0,11,0,2,0,0,0,0,"32,563"
Sweden,33,"1,122",1,32,"1,338",8,0,0,1,637,0,11,0,0,0,15,388,0,0,10,0,"2,033",27,15,125,10,157,0,166,0,0,2,2,0,65,116,"1,715",168,43,2,0,0,522,484,22,0,0,0,0,1,0,0,0,0,325,190,85,298,0,24,42,1,17,4,0,0,0,0,0,1,0,0,0,0,0,0,"10,258"
Switzerland,33,278,0,61,"2,337",7,0,0,0,781,0,11,0,0,0,6,269,0,0,6,0,"2,015",15,62,75,1,138,0,130,0,0,1,1,3,36,62,"1,287",151,10,0,0,0,359,266,48,0,0,0,0,0,0,0,0,0,174,19,56,87,0,1,4,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,"8,799"
Tajikistan,14,51,0,0,"1,224",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,79,4,21,30,0,52,1,7,0,0,0,0,0,18,2,172,10,6,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,710"
Turkey,120,555,4,45,"49,389",3,0,0,3,"4,400",0,1,0,1,1,35,253,0,0,0,0,"3,156",211,37,351,0,203,2,720,0,0,2,182,1,561,80,"9,755",670,109,0,0,0,429,422,23,0,0,0,0,131,0,8,1,19,150,13,49,20,0,0,0,14,11,33,0,0,0,0,0,3,0,1,1,0,0,0,"72,178"
Turkmenistan,8,9,2,11,408,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,219,46,12,0,0,17,0,18,0,0,0,0,0,54,2,76,5,2,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,913
Ukraine,61,333,1,276,"18,763",503,0,0,16,"2,664",0,0,0,0,2,2,86,0,0,0,0,"1,326",96,22,47,0,104,0,165,0,0,267,"1,085",0,252,23,"1,051",123,474,128,0,0,515,665,13,0,0,0,0,1,0,0,0,0,148,83,67,364,0,31,34,0,26,38,0,0,0,0,0,10,0,0,0,0,0,0,"29,865"
Uzbekistan,50,297,0,9,"7,478",1,0,0,4,307,1,0,0,0,0,0,0,0,0,0,0,"1,003",95,15,50,0,60,0,24,0,0,0,0,0,29,5,"1,301",14,56,7,0,0,12,23,3,0,2,1,0,0,0,0,0,0,7,0,5,29,0,41,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"10,936"
Vatican City,0,19,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
Antigua and Barbuda,3,10,0,1,"1,987",0,0,0,0,13,0,5,0,0,0,0,0,0,0,0,0,79,2,3,3,0,2,0,8,0,0,0,10,0,3,0,22,0,3,0,0,0,3,5,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"2,170"
"Bahamas, The",94,144,0,6,"10,734",1,0,0,3,138,0,106,0,0,0,0,0,0,0,0,0,"1,181",34,16,4,0,20,0,89,0,0,0,0,0,12,0,70,17,8,0,0,0,18,3,50,4,0,0,0,0,0,0,0,0,10,0,3,39,0,0,0,0,6,6,0,0,0,0,0,2,0,0,0,0,0,0,"12,818"
Barbados,14,36,1,0,"6,226",0,0,0,8,220,0,24,0,0,0,0,0,0,0,0,0,161,3,2,9,0,23,0,23,0,0,27,184,0,9,0,29,6,3,0,0,0,11,7,6,0,1,0,0,0,0,0,0,0,5,4,0,7,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,"7,055"
Belize,15,106,0,11,"7,809",5,0,0,145,38,0,119,0,0,0,0,0,0,0,0,0,170,1,2,6,0,3,0,3,0,0,15,55,1,0,4,44,10,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,"8,585"
Canada,202,81,1,6,114,3,0,0,0,20,0,1,0,0,0,763,"3,814",0,0,35,0,141,16,40,12,1,448,1,38,0,0,16,7,0,150,26,60,40,413,22,0,0,119,244,3,0,0,0,0,589,0,3,3,8,30,11,35,29,1,4,4,1,15,12,0,0,0,0,0,35,30,1,0,1,0,0,"7,649"
Costa Rica,29,128,0,99,"48,684",1,0,0,14,285,0,30,0,0,0,2,22,0,0,4,0,521,32,4,4,0,107,2,177,0,0,384,283,144,63,9,348,74,47,21,0,0,529,436,15,1,0,0,0,0,0,0,0,0,32,7,17,15,0,1,1,0,17,15,0,0,0,0,0,8,0,0,1,7,0,0,"52,620"
Cuba,102,40,3,177,"1,245",311,0,0,5,8,0,0,0,0,0,0,4,0,0,0,0,87,21,92,53,0,10,0,3,0,0,0,0,0,3,2,35,12,362,72,0,0,6,5,1,0,0,0,0,0,0,0,0,0,28,93,15,120,0,74,1,0,2,7,0,0,0,0,0,2,0,0,0,0,0,0,"3,001"
Dominica,6,3,0,0,"1,232",0,0,0,0,71,0,5,0,0,0,0,0,0,0,0,0,89,1,2,6,0,0,0,12,0,0,0,0,0,0,1,19,0,5,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,2,2,0,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,475"
Dominican Republic,57,277,1,107,"64,516",2,0,0,16,528,0,23,0,0,1,0,4,0,0,0,0,"1,510",45,11,11,0,68,1,157,0,0,71,202,1,47,195,"8,901",66,710,205,0,0,103,153,14,0,0,0,0,0,0,0,0,0,69,152,25,"1,268",0,4,163,7,48,44,0,1,0,0,0,2,0,0,0,2,0,0,"79,788"
El Salvador,84,668,3,58,"33,110",5,0,0,66,333,0,73,0,0,0,0,1,0,0,1,0,360,13,11,16,1,74,3,87,0,0,377,"4,274",0,33,39,309,25,139,39,0,0,66,61,5,0,0,0,0,0,0,0,0,0,6,0,5,85,0,0,3,3,28,11,1,5,6,5,2,3,0,1,4,134,1,5,"40,642"
Grenada,12,29,0,0,"1,285",0,0,0,4,108,0,12,0,0,0,0,78,0,0,0,0,68,4,4,6,0,5,0,12,0,0,1,0,0,3,0,19,1,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,2,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,674"
Guatemala,129,316,3,23,"50,452",4,0,0,14,146,0,82,0,0,0,0,3,0,0,0,0,684,38,12,13,0,50,6,75,0,0,"2,978","6,289",1,38,21,287,22,127,18,0,0,100,88,12,0,0,0,0,0,0,0,0,0,22,3,15,60,1,0,5,4,22,10,3,30,3,2,6,3,0,8,8,195,3,8,"62,442"
Haiti,57,104,0,7,"12,362",5,0,0,129,52,0,52,0,0,0,0,1,0,0,0,0,250,20,11,5,0,63,1,11,0,0,15,7,0,4,15,133,17,623,101,0,0,10,10,5,0,0,0,0,0,0,0,0,0,2,1,0,28,0,67,0,0,19,1,0,0,0,0,1,0,0,27,0,7,3,6,"14,232"
Honduras,84,382,5,107,"36,831",60,0,0,163,"1,057",0,17,0,0,1,12,60,0,0,0,0,921,53,9,1,2,69,4,94,0,0,558,"4,558",1,47,77,494,101,135,40,0,0,57,69,6,0,0,0,0,1,0,0,0,0,7,1,1,70,0,0,3,1,13,13,0,15,3,2,0,9,0,5,4,146,2,9,"46,380"
